name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;587;0;517;3139;1450;3139;1143;0
header;257;277;257;282;1577;282;1577;277
D;1043;836;1043;870;1070;870;1070;836
B;882;837;882;871;910;871;910;837
B;923;837;923;871;951;871;951;837
C;963;837;963;870;991;870;991;837
D;1124;837;1124;870;1151;870;1151;837
C;1164;838;1164;870;1190;870;1190;838
D;776;838;776;871;803;871;803;838
C;842;838;842;871;868;871;868;838
B;599;839;599;873;626;873;626;839
B;558;839;558;872;586;872;586;839
C;638;839;638;873;664;873;664;839
D;675;839;675;872;702;872;702;839
B;750;839;750;872;761;872;761;839
A;779;958;779;960;780;960;780;958
B;979;1294;979;1313;1011;1313;1011;1294
D;1183;1483;1183;1494;1190;1494;1190;1483
B;922;1505;922;1523;956;1523;956;1505
A;1185;1543;1185;1559;1198;1559;1198;1543
B;1095;1786;1095;1804;1127;1804;1127;1786
C;859;1902;859;1939;888;1939;888;1902
A;1003;1903;1003;1938;1026;1938;1026;1903
B;1197;1904;1197;1940;1221;1940;1221;1904
A;698;1989;698;2010;718;2010;718;1989
C;567;2035;567;2073;593;2073;593;2035
C;605;2036;605;2073;630;2073;630;2036
C;646;2036;646;2073;672;2073;672;2036
B;689;2036;689;2072;715;2072;715;2036
B;862;2037;862;2074;888;2074;888;2037
A;731;2038;731;2073;755;2073;755;2038
C;1187;2038;1187;2077;1216;2077;1216;2038
B;1019;2039;1019;2075;1044;2075;1044;2039
A;1160;2039;1160;2076;1172;2076;1172;2039
C;1283;2039;1283;2075;1306;2075;1306;2039
A;987;2054;987;2059;1001;2059;1001;2054
A;961;2063;961;2072;971;2072;971;2063
B;586;2423;586;2449;603;2449;603;2423
B;1196;2536;1196;2554;1225;2554;1225;2536
