name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;322;0;653;3143;1060;3143;1060;0
header;218;102;218;135;1841;135;1841;102
A;1019;163;1019;187;1037;187;1037;163
A;398;168;398;171;402;171;402;168
B;1023;825;1023;852;1045;852;1045;825
A;1034;1363;1034;1365;1034;1365;1034;1363
A;633;1436;633;1461;647;1461;647;1436
C;1022;1498;1022;1526;1044;1526;1044;1498
A;854;1663;854;1688;868;1688;868;1663
A;1025;1717;1025;1717;1026;1717;1026;1717
D;1024;2168;1024;2196;1045;2196;1045;2168
A;1004;2847;1004;2848;1005;2848;1005;2847
A;1033;2848;1033;2848;1033;2848;1033;2848
